fi;lt;lv;no;se
287682.5;807.9236239;664.7695137;1500000;851000
336675.7143;990.7573666;799.9684021;1323000;816000
258668.5714;677.9695334;574.3868528;1734000;521000
176210;472.6951691;401.8851373;1595000;406000
160882.8571;470.8189496;331.1811276;892000;405000
151871.4286;439.2581759;345.8822293;671000;494000
152994.2857;524.7749339;407.4977863;820000;538000
137232.8571;573.4389889;403.0237483;1090000;564000
139351.4286;557.3058923;362.6031979;753000;653000
150415.7143;660.6439822;343.1427709;538000;650000
172338.5714;706.4691975;478.2924003;929000;936000
161838.5714;642.590541;305.9096625;880000;800000
159330;580.9447679;387.0299624;1908000;621000
200411.4286;781.4921265;414.5757346;2295000;506000
121278.5714;448.3945477;270.6917027;1736000;770000
147245.7143;500.4689821;306.6776908;1103000;1047000
263680;966.9271162;230.7325562;847000;1738000
325747.1429;1459.06563;322.955718;1535000;1892000
310777.1429;1027.762827;251.6013409;2193000;1364000
418665.7143;1256.231493;266.3384183;8060000;2226000
763857.1429;1846.551999;534.9786347;7609000;5268000
761107.1429;1982.940934;482.2102991;6629000;4626000
448354.2857;1129.054112;244.7115876;9367000;3955000
335542.8571;817.1215732;395.8251012;7708000;3463000
260821.4286;657.545959;519.7674077;6037000;1774000
217561.4286;560.701208;401.1375892;4505000;1423000
199727.1429;431.8802097;164.9739994;3722000;1663000
166097.1429;431.6107243;284.7317896;4088000;1606000
117877.1429;343.2637694;234.120594;3649000;1483000
89781.42857;179.2753265;200.0494121;3806000;902000
106130;277.8865595;245.2178317;4494000;775000
105685.7143;272.9706042;204.9820751;3717000;998000
95261.42857;240.8506377;193.3246639;3652000;685000
141250;362.2912648;305.7756958;2539000;1249000
186268.5714;537.1623832;433.4416856;2230000;936000
126044.2857;349.9629139;296.8650925;3035000;606000
101454.2857;287.0370372;247.4138992;3915000;584000
72297.14286;211.7801494;119.1857368;2433000;450000
120075.7143;319.0762312;285.2712099;2461000;621000
200485.7143;649.2970219;461.8321253;4821000;928000
163122.8571;465.8935038;379.4975582;2692000;969000
145020;405.9862579;343.8721912;3186000;1052000
120961.4286;327.6631639;287.1410853;2946000;1287000
183762.8571;573.531064;446.5809885;2583000;1819000
278010;785.8108382;598.5482241;1785000;1393000
288507.1429;886.3118546;675.7688094;1380000;1049000
244820;600.2547507;584.3448796;2009000;712000
190574.2857;505.3261083;392.5108699;1193000;831000
169134.2857;492.5850249;379.7489109;2430000;792000
192257.1429;564.7004892;409.3145793;1045000;643000
191697.1429;460.8841479;354.1758861;2097000;595000
164161.4286;567.6041753;356.498755;1898000;503000
