DK1;DK2;EE;FI;LT;LV;NO;SE
1838;1436;757;8967;912;716;14374;15210
1763;1408;730;8642;863;675;14181;14775
1698;1345;703;8453;824;647;13936;14434
1663;1300;688;8384;797;628;13654;14011
1604;1275;687;8452;792;628;13613;13944
1601;1253;688;8655;803;641;13710;14119
1669;1289;697;8657;821;654;13983;14505
1758;1332;729;8832;819;659;14324;14946
1821;1344;737;8917;850;663;14637;15169
1874;1415;775;8954;909;696;14891;15514
2006;1503;809;9131;961;731;15424;15967
2082;1565;824;9233;989;750;15828;16380
2112;1600;835;9287;993;762;16174;16735
2105;1620;851;9414;995;773;16250;16846
2101;1653;886;9825;1017;791;16397;17314
2116;1678;951;10073;1114;863;16540;17699
2275;1790;960;10103;1182;896;16753;18165
2459;1905;952;10164;1184;898;17052;18381
2431;1885;946;10160;1169;890;16585;18035
2299;1819;933;9947;1137;878;16210;17522
2185;1707;905;9599;1086;852;16062;17094
2055;1615;863;9841;993;796;15685;16643
1910;1500;817;9686;910;727;15273;16016
1774;1401;764;9233;839;671;14891;15325
1680;1319;730;8886;792;630;14308;14607
1597;1278;707;8671;768;612;13968;14279
1583;1266;698;8594;759;605;13983;14142
1596;1290;702;8642;766;611;13936;14068
1655;1310;729;8946;814;643;14065;14096
1782;1433;812;9743;964;728;14585;14674
2115;1620;924;10277;1123;851;15630;15800
2531;1876;1038;10629;1254;962;17084;17112
2717;1962;1073;10705;1324;1003;17596;17687
2733;2009;1107;10658;1358;1035;17764;17925
2807;2051;1105;10706;1335;1039;17963;18330
2813;2063;1097;10704;1324;1024;18190;18734
2796;2040;1127;10695;1338;1042;18204;18693
2801;2026;1117;10823;1323;1047;18229;18982
2747;2013;1139;11057;1320;1057;18374;19002
2692;2047;1167;11152;1361;1104;18451;19384
2783;2147;1153;11125;1384;1096;18419;19513
3044;2273;1122;11072;1355;1078;18208;19482
2910;2183;1094;11085;1313;1038;17904;19067
2691;2038;1055;10912;1259;1007;17547;18737
2491;1864;1016;10450;1181;961;17199;18220
2307;1738;949;10503;1062;884;16744;17497
2095;1587;884;10293;952;797;16104;16416
1863;1443;828;9761;866;724;15463;15523
1741;1306;784;9354;810;669;14833;14877
1691;1236;763;9163;778;648;14467;14445
1676;1204;751;9038;766;636;14282;14321
1677;1205;756;9115;765;640;14207;14255
1723;1240;779;9421;808;670;14220;14424
1847;1325;858;10067;960;762;14594;14722
2146;1523;978;10580;1116;889;15767;16143
2527;1780;1087;10986;1252;1006;17063;17568
2678;1898;1111;11052;1301;1047;17666;18284
2700;1933;1129;10931;1323;1061;17759;18579
2754;1975;1138;10907;1338;1069;17651;18825
2739;1991;1139;10919;1328;1048;17504;18960
2699;1978;1152;10992;1344;1062;17699;18800
2698;1978;1142;10956;1342;1066;17789;18640
2663;1972;1156;11230;1332;1074;17814;18834
2632;2005;1188;11372;1366;1118;17751;18946
2766;2144;1166;11307;1385;1117;17783;19315
2979;2241;1137;11310;1352;1089;17803;19386
2851;2185;1107;11164;1300;1050;17543;19023
2619;2029;1069;10929;1247;1016;17051;18117
2397;1877;1011;10505;1181;964;16620;17419
2245;1779;952;10654;1073;885;16218;16888
2126;1630;877;10416;968;806;15648;16228
1972;1535;823;9872;887;731;15106;15475
1845;1424;778;9387;818;677;14666;15146
1756;1416;753;9102;779;648;14090;14619
1708;1397;742;8972;763;636;13830;14567
1690;1375;738;8932;756;634;13641;14221
1694;1369;748;9069;777;655;13700;14045
1734;1379;778;9362;838;695;13894;14252
1833;1397;823;9443;916;759;14240;14865
2039;1500;874;9711;981;816;14586;15443
2219;1592;909;9879;1055;860;15328;16288
2298;1652;958;9965;1134;910;15957;16473
2360;1786;981;10024;1176;936;16435;17162
2341;1781;991;10127;1193;940;16711;17347
2283;1743;1003;10184;1197;944;16700;17265
2221;1706;1010;10255;1180;942;16518;17435
2196;1673;1033;10585;1179;941;16526;17271
2206;1695;1091;10857;1245;993;16773;17789
2457;1877;1100;10967;1307;1019;17113;18364
2750;2053;1086;11025;1283;1006;17102;18444
2674;2029;1055;10943;1241;976;17067;18299
2444;1873;1003;10588;1191;944;16637;17579
2260;1734;962;10180;1132;901;16046;16743
2121;1636;908;10412;1037;840;15745;16255
1981;1490;844;10244;951;773;15207;15699
1860;1384;791;9784;864;707;14893;15248
