hour;dk1;dk2;ee;fi;lt;lv;no;se
00 - 01;0;0;2.63333E-05;2.63333E-05;2.63333E-05;2.63333E-05;2.63333E-05;0.000079
01 - 02;0;0;2.93333E-05;2.93333E-05;2.93333E-05;2.93333E-05;2.93333E-05;0.000088
02 - 03;0;0;0.000031;0.000031;0.000031;0.000031;0.000031;0.000093
03 - 04;0;0;0.000037;0.000037;0.000037;0.000037;0.000037;0.000111
04 - 05;0;0;0.000031;0.000031;0.000031;0.000031;0.000031;0.000093
05 - 06;0;0;2.73333E-05;2.73333E-05;2.73333E-05;2.73333E-05;2.73333E-05;0.000082
06 - 07;0;0;0.00003;0.00003;0.00003;0.00003;0.00003;0.00009
07 - 08;0;0;0.0000337;0.0000337;0.0000337;0.0000337;0.0000337;0.0001011
08 - 09;0;0;3.43333E-05;3.43333E-05;3.43333E-05;3.43333E-05;3.43333E-05;0.000103
09 - 10;0.0025;0.02;0.007585123;0.007585123;0.007585123;0.007585123;0.007585123;0.00025537
10 - 11;0.015;0.05;0.02192019;0.02192019;0.02192019;0.02192019;0.02192019;0.00076057
11 - 12;0.03;0.08;0.03703181;0.03703181;0.03703181;0.03703181;0.03703181;0.00109543
12 - 13;0.045;0.05;0.031947393;0.031947393;0.031947393;0.031947393;0.031947393;0.00084218
13 - 14;0.0475;0.02;0.022670407;0.022670407;0.022670407;0.022670407;0.022670407;0.00051122
14 - 15;0.025;0.015;0.013397967;0.013397967;0.013397967;0.013397967;0.013397967;0.0001939
15 - 16;0.005;0;0.001700733;0.001700733;0.001700733;0.001700733;0.001700733;0.0001022
16 - 17;0;0;3.57333E-05;3.57333E-05;3.57333E-05;3.57333E-05;3.57333E-05;0.0001072
17 - 18;0;0;0.0000307;0.0000307;0.0000307;0.0000307;0.0000307;0.0000921
18 - 19;0;0;0.000023;0.000023;0.000023;0.000023;0.000023;0.000069
19 - 20;0;0;2.03333E-05;2.03333E-05;2.03333E-05;2.03333E-05;2.03333E-05;0.000061
20 - 21;0;0;2.30333E-05;2.30333E-05;2.30333E-05;2.30333E-05;2.30333E-05;0.0000691
21 - 22;0;0;0.0000198;0.0000198;0.0000198;0.0000198;0.0000198;0.0000594
22 - 23;0;0;1.86667E-05;1.86667E-05;1.86667E-05;1.86667E-05;1.86667E-05;0.000056
23 - 00;0;0;1.46667E-05;1.46667E-05;1.46667E-05;1.46667E-05;1.46667E-05;0.000044
00 - 01;0;0;0.000034;0.000034;0.000034;0.000034;0.000034;0.000102
01 - 02;0;0;0.000019;0.000019;0.000019;0.000019;0.000019;0.000057
02 - 03;0;0;1.83333E-05;1.83333E-05;1.83333E-05;1.83333E-05;1.83333E-05;0.000055
03 - 04;0;0;0.000017;0.000017;0.000017;0.000017;0.000017;0.000051
04 - 05;0;0;1.63333E-05;1.63333E-05;1.63333E-05;1.63333E-05;1.63333E-05;0.000049
05 - 06;0;0;0.000021;0.000021;0.000021;0.000021;0.000021;0.000063
06 - 07;0;0;0.000026;0.000026;0.000026;0.000026;0.000026;0.000078
07 - 08;0;0;3.56667E-05;3.56667E-05;3.56667E-05;3.56667E-05;3.56667E-05;0.000107
08 - 09;0;0;3.80667E-05;3.80667E-05;3.80667E-05;3.80667E-05;3.80667E-05;0.0001142
09 - 10;0;0.01;0.003381143;0.003381143;0.003381143;0.003381143;0.003381143;0.00014343
10 - 11;0.005;0.025;0.010112543;0.010112543;0.010112543;0.010112543;0.010112543;0.00033763
11 - 12;0.01;0.03;0.013474533;0.013474533;0.013474533;0.013474533;0.013474533;0.0004236
12 - 13;0.0125;0.025;0.012615717;0.012615717;0.012615717;0.012615717;0.012615717;0.00034715
13 - 14;0.02;0.015;0.011738357;0.011738357;0.011738357;0.011738357;0.011738357;0.00021507
14 - 15;0.0125;0.005;0.00587781;0.00587781;0.00587781;0.00587781;0.00587781;0.00013343
15 - 16;0.005;0;0.001703533;0.001703533;0.001703533;0.001703533;0.001703533;0.0001106
16 - 17;0;0;0.000026;0.000026;0.000026;0.000026;0.000026;0.000078
17 - 18;0;0;2.93333E-05;2.93333E-05;2.93333E-05;2.93333E-05;2.93333E-05;0.000088
18 - 19;0;0;0.000028;0.000028;0.000028;0.000028;0.000028;0.000084
19 - 20;0;0;3.06667E-05;3.06667E-05;3.06667E-05;3.06667E-05;3.06667E-05;0.000092
20 - 21;0;0;0.000032;0.000032;0.000032;0.000032;0.000032;0.000096
21 - 22;0;0;0.000038;0.000038;0.000038;0.000038;0.000038;0.000114
