hour;dk1;dk2;ee;fi;lt;lv;no;se
00 - 01;0.434210526;0.404;0.446666667;0.235753622;0.316666667;0.15;0.353230894;0.221482157
01 - 02;0.44;0.454;0.426666667;0.223021331;0.32;0.12;0.373410462;0.226231387
02 - 03;0.431052632;0.491;0.43;0.204201957;0.303333333;0.09;0.388612155;0.243783834
03 - 04;0.443421053;0.477;0.4;0.191030266;0.273333333;0.07;0.386944085;0.240411203
04 - 05;0.435263158;0.477;0.403333333;0.170254044;0.273333333;0.07;0.381261672;0.231521858
05 - 06;0.442631579;0.43;0.34;0.15146029;0.233333333;0.07;0.369028827;0.234454902
06 - 07;0.430789474;0.42;0.353333333;0.138601936;0.23;0.09;0.363361223;0.239294195
07 - 08;0.408684211;0.409;0.35;0.115879794;0.21;0.08;0.349832009;0.231811818
08 - 09;0.385;0.38;0.28;0.123474497;0.223333333;0.09;0.332237605;0.231712814
09 - 10;0.348947368;0.365;0.256666667;0.111008793;0.22;0.08;0.314030927;0.228145412
10 - 11;0.365789474;0.299;0.226666667;0.105482052;0.216666667;0.08;0.294900032;0.219910623
11 - 12;0.357105263;0.278;0.226666667;0.105217177;0.176666667;0.07;0.280215073;0.205539955
12 - 13;0.354210526;0.241;0.22;0.098106542;0.176666667;0.06;0.26372058;0.195951215
13 - 14;0.358157895;0.198;0.19;0.084316485;0.2;0.06;0.246482009;0.183288134
14 - 15;0.340263158;0.146;0.18;0.080392152;0.233333333;0.05;0.218902841;0.170445364
15 - 16;0.332105263;0.08;0.136666667;0.08042389;0.24;0.07;0.192770287;0.166205597
16 - 17;0.333157895;0.094;0.146666667;0.081475605;0.266666667;0.07;0.196209252;0.16146986
17 - 18;0.345789474;0.166;0.156666667;0.081020009;0.256666667;0.06;0.221924689;0.153984593
18 - 19;0.403947368;0.266;0.16;0.081918313;0.236666667;0.09;0.275958765;0.157928925
19 - 20;0.430526316;0.351;0.156666667;0.07502072;0.22;0.1;0.312610821;0.156306147
